iso_code	continent	location	date	total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	new_tests	total_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	tests_units	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	new_vaccinations_smoothed_per_million	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_thousand	life_expectancy	human_development_index	excess_mortality
LVA	Europe	Latvia	2021-07-24	138425.0	43.0	42.714	2550.0	0.0	1.0	73388.216	22.797	22.646	1351.923	0.0	0.53																													1886202.0	31.212	43.9	19.754	14.136	25063.846	0.7	350.06	4.91	25.6	51.0		5.57	75.29	0.866	
LBN	Asia	Lebanon	2021-07-24	554458.0	1587.0	566.571	7891.0	2.0	1.0	81234.007	232.512	83.009	1156.116	0.293	0.147																			1786506.0	1072498.0	714008.0	4139.0	12352.0	26.17	15.71	10.46	1810.0		6825442.0	594.561	31.1	8.514	5.43	13367.565		266.591	12.71	26.9	40.7		2.9	78.93	0.744	
LSO	Africa	Lesotho	2021-07-24	12787.0	108.0	55.571	357.0	0.0	2.571	5968.952	50.414	25.941	166.647	0.0	1.2																												63.89	2142252.0	73.562	22.2	4.506	2.647	2851.153	59.6	405.126	3.94	0.4	53.9	2.117		54.33	0.527	
LBR	Africa	Liberia	2021-07-24	5396.0	0.0	11.571	148.0	0.0	0.0	1066.893	0.0	2.288	29.262	0.0	0.0																													5057677.0	49.127	19.2	3.057	1.756	752.788	38.6	272.509	2.42	1.5	18.1	1.188	0.8	64.1	0.48	
LBY	Africa	Libya	2021-07-24	229604.0	0.0	1738.571	3344.0	0.0	13.0	33414.992	0.0	253.02	486.663	0.0	1.892																													6871287.0	3.623	29.0	4.424	2.816	17881.509		341.862	10.43				3.7	72.91	0.724	
LIE	Europe	Liechtenstein	2021-07-24	3075.0	2.0	2.0	59.0	0.0	0.0	80630.359	52.443	52.443	1547.054	0.0	0.0																													38137.0	237.012							7.77				2.397	82.49	0.919	
LTU	Europe	Lithuania	2021-07-24	280774.0	233.0	158.857	4410.0	1.0	0.857	103138.864	85.59	58.354	1619.959	0.367	0.315																			2559642.0	1351303.0	1208339.0	4410.0	11511.0	94.03	49.64	44.39	4228.0		2722291.0	45.135	43.5	19.002	13.778	29524.265	0.7	342.989	3.67	21.3	38.0		6.56	75.93	0.882	
LUX	Europe	Luxembourg	2021-07-24	73412.0	0.0	93.286	821.0	0.0	0.143	117276.062	0.0	149.024	1311.552	0.0	0.228																													625976.0	231.447	39.7	14.312	9.842	94277.965	0.2	128.275	4.42	20.9	26.0		4.51	82.25	0.916	
MAC	Asia	Macao	2021-07-24																															480435.0	275721.0	206413.0	5372.0	4788.0	73.99	42.46	31.79	7374.0		649342.0	20546.766	39.2	9.798	4.991	104861.851								84.24		
MDG	Africa	Madagascar	2021-07-24	42590.0	9.0	10.0	939.0	0.0	0.429	1538.044	0.325	0.361	33.91	0.0	0.015																													27691019.0	43.951	19.6	2.929	1.686	1416.44	77.6	405.994	3.94			50.54	0.2	67.04	0.528	
